actual Price,pred Price
23.6,29.218660139899285
32.4,33.55146719559807
13.6,14.810657992190983
22.8,25.08472545778361
16.1,19.173927021454425
20.0,23.286403994935554
17.8,17.744122496463866
14.0,14.460921226971719
19.6,23.30259107162709
16.8,20.756479917069456
21.5,22.453170744059495
18.9,18.77736488021157
7.0,-6.529709346188948
21.2,21.749684925004097
18.5,19.301958693274656
29.8,26.59522080928022
18.8,21.217548781646194
10.2,5.842563450902134
50.0,40.881271452587384
14.1,17.98690048212947
25.2,27.43177299182058
29.1,30.298717532534873
12.7,11.20759373332055
22.4,24.396915427110216
14.2,18.240072543864713
13.8,16.01087618478068
20.3,22.79683608129697
14.9,14.73958349856133
21.7,19.755762719839836
18.3,19.292986690165964
23.1,22.520173257143526
23.8,25.379839827284577
15.0,26.365056511080397
20.8,18.236976904801963
19.1,16.93419023896909
19.4,17.558367555433463
34.7,31.503359015441397
19.5,20.24159575994168
24.4,21.08251444470804
23.4,24.652675635326077
19.7,13.904520831548577
28.2,32.57892684510329
50.0,43.16818646446919
17.4,17.128961132582113
22.6,27.367060259752765
15.1,17.358540917327428
13.1,14.010996314893251
24.2,25.9522958443448
19.9,20.565382977848614
24.0,30.179008703693736
18.9,21.497711191350852
35.4,34.682429625704984
15.2,16.023344008334455
26.5,26.335337509954414
43.5,40.12023825363463
21.2,22.9008321525845
18.4,19.30066017812058
28.5,32.99670513471332
23.9,25.11269666508062
18.5,12.732246366835627
25.0,22.792393315542583
35.4,30.711759583800536
31.5,31.81487172090078
20.2,15.828260364214366
24.1,20.05819835722936
20.0,13.909102924848623
13.1,20.920572343133458
24.8,26.018022506521902
30.8,30.804720896022722
12.7,11.73369774525105
20.0,20.508422756936096
23.7,27.850985941136088
10.8,11.20111240979233
20.6,15.49838312088277
20.8,23.817491863233634
5.0,6.142938715610274
20.1,21.628369044651258
48.5,41.886266380553344
10.9,19.042884512954597
7.0,8.717542512844965
20.9,20.714910501906804
17.2,13.321767621578871
20.9,20.658185672445228
9.7,9.526386341544228
19.4,23.449624789395173
29.0,29.401169437180982
16.4,19.465669314952923
25.0,25.674380335754048
25.0,29.409087186825122
17.1,20.440202887232957
23.2,25.70799403082801
10.4,5.591998420606874
19.6,20.41059108446686
17.2,14.700934625386905
27.5,12.906222407242286
23.0,21.0600782286387
50.0,25.17368386936583
17.9,-0.5204526837966874
9.6,13.857699456693702
17.2,16.19518172635984
22.5,22.24816901385106
21.4,24.524165969669266
